HOUSEHOLD_ID,J01_WORRIED,J02_NOT_EATEN_HEALTHY,J03_ATE_FEW_FOOD,J04_SKIPPED_MEAL,J05_ATE_LESS,J06_RAN_OUT_OF_FOOD,J07_HUNGRY,J08_NOT_EATEN_WHOLE_DAY,J09_NOT_EATEN_WHOLE_DAY_PAST_3_MONTHS,K03_C_SAVING_FOR_EMERGENCIES,K03_D_SAVING_FOR_BUSINESS,K03_Q_FOR_RECEIVING_PENSION,K03_T_FOR_BUSINESS_OPERATIONS,K04_PRESENCE_OF_SAVINGS,K06_A_EARN_JUST_ENOUGH,K06_B_NO_STABLE_SOURCE_OF_INCOME,K06_C_USED_FOR_EMERGENCY,K07_LOANS,K09_A_LOAN_FOR_BUSINESS,K09_D_LOAN_FOR_MEDICAL_NEEDS,K09_E_LOAN_FOR_DAILY_NEEDS,K09_H_LOAN_FOR_PAYMENT_FOR_ANOTHER_LOAN,K10_C_HEALTH_INSURANCE,K10_G_MICROINSURANCE,K10_H_CROP_INSURANCE,K10_I_LIVESTOCK_AND_POULTRY_INSURANCE,K10_J_FISHERIES_INSURANCE,L06_WITH_MEMBER_CURRENTLY_PREGNANT,L08_WITH_MEMBER_CURRENTLY_BREASTFEEDING,L10_WITH_CHILD_DIED,L15_WITH_PWD_MEMBER,L19_WITH_CANCER_PATIENT_MEMBER,L23_WITH_RARE_DISEASE_MEMBER,L29_WITH_MEMBER_WHO_HAS_PWD_ID,L33_MEMBER_WHO_HAS_BEEN_SICK,O01_SAFE_WALKING_ALONE,O02_VICTIM_OF_CRIME,SECTION_O_LINE_NUMBER,O03_A_THEFT_VICTIM,O03_B_ROBBERY_VICTIM,O03_C_ASSAULT_VICTIM,O03_D_PSYCHO_VIOLENCE_VICTIM,O03_E_SEX_VIOLENCE_VICTIM,O03_F_FRAUD_VICTIM,O03_G_BRIBERY_VICTIM,O03_I_VEHICLE_THEFT_VICTIM,O03_J_BURGLARY_VICTIM,O03_K_VANDALISM_VICTIM,O03_Z_OTHER_CRIME_VICTIM,O04_A_THEFT_VICTIM,O04_B_ROBBERY_VICTIM,O04_C_ASSAULT_VICTIM,O04_D_PSYCHO_VIOLENCE_VICTIM,O04_E_SEX_VIOLENCE_VICTIM,O04_F_FRAUD_VICTIM,O04_G_BRIBERY_VICTIM,O04_I_VEHICLE_THEFT_VICTIM,O04_J_BURGLARY_VICTIM,O04_K_VANDALISM_VICTIM,O04_Z_OTHER_CRIME_VICTIM,O05_A_THEFT_VICTIM_FREQUENCY,O05_B_ROBBERY_VICTIM_FREQUENCY,O05_C_ASSAULT_VICTIM_FREQUENCY,O05_D_PSYCHO_VIOLENCE_VICTIM_FREQUENCY,O05_E_SEX_VIOLENCE_VICTIM_FREQUENCY,O05_F_FRAUD_VICTIM_FREQUENCY,O05_G_BRIBERY_VICTIM_FREQUENCY,O05_I_VEHICLE_THEFT_VICTIM_FREQUENCY,O05_J_BURGLARY_VICTIM_FREQUENCY,O05_K_VANDALISM_VICTIM_FREQUENCY,O05_Z_OTHER_CRIME_VICTIM_FREQUENCY,O06_A_THEFT_LOCATION_OF_CRIME,O06_B_ROBBERY_LOCATION_OF_CRIME,O06_C_ASSAULT_LOCATION_OF_CRIME,O06_D_PSYCHO_VIOLENCE_LOCATION_OF_CRIME,O06_E_SEX_VIOLENCE_LOCATION_OF_CRIME,O06_F_FRAUD_LOCATION_OF_CRIME,O06_G_BRIBERY_LOCATION_OF_CRIME,O06_I_VEHICLE_THEFT_LOCATION_OF_CRIME,O06_J_BURGLARY_LOCATION_OF_CRIME,O06_K_VANDALISM_LOCATION_OF_CRIME,O06_Z_OTHER_CRIME_LOCATION_OF_CRIME
HH000087,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000088,2,2,2,2,2,2,2,2,,,,,,1,,,,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000089,1,1,1,2,2,2,2,2,,1,2,2,2,1,,,,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000090,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000091,1,1,2,2,2,2,2,2,,,,,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000092,1,1,1,2,2,2,2,2,,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000093,1,2,2,2,2,2,2,2,,2,1,2,2,2,1,1,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000094,1,2,2,2,2,2,2,2,,2,2,2,2,1,,,,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000095,1,1,1,1,1,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000096,2,2,2,2,2,2,2,2,,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000097,1,1,1,1,1,2,2,2,,,,,,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000098,1,1,1,1,1,2,2,2,,1,2,2,2,2,2,2,1,2,,,,,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000099,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000100,1,1,2,2,2,2,2,2,,1,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000101,1,1,1,1,1,1,1,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000102,2,2,2,2,2,2,2,2,,1,2,2,1,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000103,1,1,1,2,2,2,2,2,,,,,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,02,1,2,2,2,2,2,2,2,2,2,2,02,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
HH000104,2,2,2,2,2,2,2,2,,1,1,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000105,1,1,1,1,1,1,2,2,,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000106,2,2,2,2,2,2,2,2,,,,,,1,,,,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000107,1,1,1,2,2,2,2,2,,1,2,2,1,2,1,2,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000108,1,1,1,2,2,2,2,2,,1,1,2,1,1,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000109,1,2,2,2,2,2,2,2,,,,,,2,2,1,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000110,1,1,1,1,1,1,2,2,,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000111,1,1,1,1,1,1,1,2,,,,,,2,1,1,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000112,1,1,2,2,2,2,2,2,,,,,,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000113,1,1,1,2,2,2,2,2,,,,,,1,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000114,2,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,1,2,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000115,1,1,1,1,1,1,1,2,,,,,,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000116,2,2,2,2,2,2,2,2,,2,2,2,1,1,,,,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000117,2,2,2,2,2,2,2,2,,2,2,2,1,1,,,,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000118,1,1,1,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000119,1,2,2,2,2,2,2,2,,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000120,1,1,2,2,2,2,2,2,,,,,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000121,1,1,2,2,2,2,2,2,,,,,,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000122,1,2,2,2,2,2,2,2,,1,1,1,1,2,2,2,1,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000123,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000124,1,2,2,2,2,2,2,2,,2,1,1,2,2,2,2,2,2,,,,,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000125,1,1,1,2,2,2,2,2,,1,2,2,2,1,,,,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000126,1,1,1,1,2,2,2,2,,,,,,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000127,2,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000128,1,1,1,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000129,1,1,1,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000130,1,1,1,1,1,1,2,2,,,,,,2,2,1,2,2,,,,,2,2,2,2,2,2,2,2,1,1,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000131,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,2,1,2,2,2,1,2,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000132,2,2,2,2,2,2,2,2,,2,2,2,2,1,,,,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000133,1,1,1,1,1,1,2,2,,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000134,2,2,2,2,2,2,2,2,,,,,,1,,,,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000135,1,1,1,1,1,2,2,2,,1,2,2,1,2,1,2,1,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000136,1,1,1,1,1,1,2,2,,,,,,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000137,1,2,2,2,2,2,2,2,,2,1,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000138,2,2,2,2,2,2,2,2,,,,,,2,2,2,1,2,,,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000139,1,1,1,1,1,1,2,2,,2,1,2,2,1,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000140,2,2,2,2,2,2,2,2,,2,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000141,2,2,2,2,2,2,2,2,,,,,,1,,,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,03,1,2,2,2,2,2,2,2,2,2,2,03,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
HH000142,1,1,2,2,2,2,2,2,,,,,,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000143,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000144,2,2,2,2,2,2,2,2,,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000145,2,2,2,2,2,2,2,2,,,,,,2,1,1,2,2,,,,,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000146,1,1,1,1,1,1,2,2,,,,,,2,1,2,1,2,,,,,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000147,1,1,1,1,2,2,2,2,,2,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000148,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000149,1,1,1,1,1,1,2,2,,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000150,1,1,1,2,2,2,2,2,,2,2,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000151,2,2,2,2,2,2,2,2,,1,1,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000152,1,1,2,2,2,2,2,2,,,,,,2,1,2,1,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000153,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,1,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000154,1,1,1,1,1,1,2,2,,,,,,1,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000155,2,2,2,2,2,2,2,2,,1,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000156,1,1,1,1,2,2,2,2,,2,2,1,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000157,1,1,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000158,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000159,1,1,2,2,2,2,2,2,,2,2,2,1,2,1,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000160,1,1,1,1,1,2,2,2,,2,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000161,2,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000162,1,1,1,1,1,2,2,2,,,,,,1,,,,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000163,1,1,1,1,2,2,2,2,,1,1,2,2,1,,,,2,,,,,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000164,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000165,2,2,2,2,2,2,2,2,,,,,,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000166,1,1,1,2,2,2,2,2,,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000167,1,2,2,2,2,2,2,2,,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000168,1,1,1,2,2,2,2,2,,,,,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000169,1,1,1,1,1,1,2,2,,,,,,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000170,2,2,2,2,2,2,2,2,,1,2,2,2,1,,,,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000171,1,2,2,2,2,2,2,2,,1,1,2,2,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000172,2,2,2,2,2,2,2,2,,1,2,2,1,1,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,01,2,1,2,2,2,2,2,2,2,2,2,,01,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
HH000173,2,2,2,2,2,2,2,2,,,,,,1,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000174,2,2,2,2,2,2,2,2,,1,2,2,1,2,1,1,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000175,1,1,1,1,2,2,2,2,,2,2,2,1,1,,,,2,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000176,1,1,1,1,1,1,2,2,,,,,,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000177,1,1,1,1,1,2,2,2,,,,,,1,,,,2,,,,,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,04,1,2,2,2,2,2,2,2,2,2,2,04,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,
HH000178,2,2,2,2,2,2,2,2,,,,,,1,,,,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000179,1,1,1,1,1,1,2,2,,,,,,2,1,2,2,2,,,,,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000180,1,1,1,1,1,1,1,2,,,,,,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000181,1,1,1,1,1,2,2,2,,,,,,1,,,,2,,,,,2,1,2,2,2,2,2,2,1,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000182,2,2,2,2,2,2,2,2,,1,2,2,1,1,,,,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000183,1,1,1,1,1,2,2,2,,2,1,2,2,1,,,,2,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000184,1,1,1,1,1,2,2,2,,1,2,2,2,1,,,,2,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000185,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000186,1,1,1,1,1,1,2,2,,,,,,2,1,1,2,2,,,,,2,2,2,2,2,1,2,2,2,2,2,2,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000187,1,1,1,1,2,2,2,2,,,,,,1,,,,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000188,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
